Date,Equal Weight,Custom Weight,SPY Benchmark
2022-09-12,21994.08240203601,21165.583574324064,13155.458160482092
2022-09-13,20466.345455258073,19802.343693041996,12583.427681375419
2022-09-14,20536.202265705957,19884.356452366028,12631.441611289303
2022-09-15,20117.211986329523,19457.81079448869,12488.032587226275
2022-09-16,20165.74653600021,19433.175784008145,12392.76322176246
2022-09-19,20422.019489527363,19675.345794337183,12488.868373814816
2022-09-20,20366.24326111358,19671.437579618465,12345.516030716488
2022-09-21,20174.443316925284,19423.74899432759,12130.161342881234
2022-09-22,19833.724348087115,19235.161473765667,12028.272671303728
2022-09-23,19626.102007181693,19007.315951426943,11826.739894350747
2022-09-26,19477.42731988141,18922.005302489917,11709.742138710837
2022-09-27,19589.848650654865,18995.809189428575,11679.848597929296
2022-09-28,19805.866953707333,19148.3114756504,11909.6662068294
2022-09-29,19116.33886190459,18503.507473930775,11660.886238830446
2022-09-30,18759.268689454715,18113.290296744057,11480.567601119303
2022-10-03,19354.202886846386,18691.312426204986,11783.666483432511
2022-10-04,20075.37468948839,19331.38073130688,12148.805258014787
2022-10-05,20119.063876745375,19369.532558626277,12120.519395504669
2022-10-06,19969.66393848989,19220.100416721936,11995.484279070632
2022-10-07,18852.38918138666,18238.270781993506,11660.886238830446
2022-10-10,18522.048119239596,17977.410085528012,11571.85074892038
2022-10-11,18310.876542845286,17757.33544797587,11498.5653532553
2022-10-12,18246.669975644258,17708.97822166624,11460.63857393161
2022-10-13,18923.140711722946,18355.150394404085,11763.097476625233
2022-10-14,18180.2393480077,17715.416151783684,11495.030522184155
2022-10-17,18951.353407433155,18408.492227311475,11790.419762735486
2022-10-18,19078.569144334477,18532.311617606218,11928.950101582539
2022-10-19,19074.211363504834,18501.215411467063,11844.416110832459
2022-10-20,19120.013992344233,18510.619400061754,11745.097663363244
2022-10-21,19595.755628704275,18980.73430829928,12030.52032919474
2022-10-24,19900.534308153063,19294.488190385382,12177.733161270478
2022-10-25,20468.845035109774,19752.931742708202,12372.194214955183
2022-10-26,19620.70233137854,18879.495007945487,12278.979792102407
2022-10-27,19434.242603119885,18582.213154436766,12213.411252140162
2022-10-28,20507.741578952144,19628.338728570398,12503.975396751235
2022-10-31,20127.478754546395,19287.221036230225,12413.65376422403
2022-11-01,19918.19410471903,19033.41707430188,12359.334849909777
2022-11-02,19276.8484194127,18389.059102482857,12049.163213765298
2022-11-03,18931.77355705046,17937.839462774013,11925.093734857108
2022-11-04,19475.386780916047,18359.454264306343,12096.73297102855
2022-11-07,19757.22858819908,18640.674067252883,12212.446645177308
2022-11-08,19952.239828584537,18782.994506777926,12278.336720793837
2022-11-09,19228.589102853402,18178.004068318733,12025.378850415165
2022-11-10,21244.61100124273,19944.09699052409,12686.224278951082
2022-11-11,21760.86005230881,20379.543048322663,12809.005554116142
2022-11-14,21514.6334126283,20110.81547060905,12700.042067581377
2022-11-15,21775.502282164907,20311.856746769434,12808.360421681584
2022-11-16,21399.009831957555,20074.70897777357,12710.651713609783
2022-11-17,21385.597139498328,20118.40858067814,12671.758266197246
2022-11-18,21277.12412176954,20064.73907307973,12729.294598180337
2022-11-21,21105.418671818275,19894.39228542757,12683.00995297123
2022-11-22,21626.332132976244,20296.327273076837,12853.684582179816
2022-11-23,21960.277674734578,20550.67428260609,12934.681680732763
2022-11-25,21703.848107184705,20324.664546117554,12931.790951533181
2022-11-28,21149.352592069696,19812.234142649104,12725.436170328921
2022-11-29,20874.82381394399,19550.69431081399,12703.581020904501
2022-11-30,22214.962890460414,20734.738144141847,13103.750692795915
2022-12-01,22308.675284205536,20787.749116676674,13094.107714856353
2022-12-02,22180.838935553576,20707.647131674235,13079.000691919937
2022-12-05,21865.532704018526,20419.688518087725,12843.721099148966
2022-12-06,21259.26673150837,19893.454586878313,12658.580457186543
